c_custkey	c_name	revenue	c_acctbal	n_name	c_address	c_phone	c_comment
121	Customer#000000121	282635.1719	6428.32	PERU	tv nCR2YKupGN73mQudO	27-411-990-2959	uriously stealthy ideas. carefully final courts use carefully
124	Customer#000000124	222182.5188	1842.49	CHINA	aTbyVAW5tCd,v09O	28-183-750-7809	le fluffily even dependencies. quietly s
106	Customer#000000106	190241.3334	3288.42	ARGENTINA	xGCOEAUjUNG	11-751-989-4627	lose slyly. ironic accounts along the evenly regular theodolites wake about the special, final gifts. 
16	Customer#000000016	161422.0461	4681.03	IRAN	cYiaeMLZSMAOQ2 d0W,	20-781-609-3107	kly silent courts. thinly regular theodolites sleep fluffily after 
44	Customer#000000044	149364.5652	7315.94	MOZAMBIQUE	Oi,dOSPwDu4jo4x,,P85E0dmhZGvNtBwi	26-190-260-5375	r requests around the unusual, bold a
71	Customer#000000071	129481.0245	-611.19	GERMANY	TlGalgdXWBmMV,6agLyWYDyIz9MKzcY8gl,w6t1B	17-710-812-5403	g courts across the regular, final pinto beans are blithely pending ac
89	Customer#000000089	121663.1243	1530.76	KENYA	dtR, y9JQWUO6FoJExyp8whOU	24-394-451-5404	counts are slyly beyond the slyly final accounts. quickly final ideas wake. r
112	Customer#000000112	111137.7141	2953.35	ROMANIA	RcfgG3bO7QeCnfjqJT1	29-233-262-8382	rmanently unusual multipliers. blithely ruthless deposits are furiously along the
62	Customer#000000062	106368.0153	595.61	GERMANY	upJK2Dnw13,	17-361-978-7059	kly special dolphins. pinto beans are slyly. quickly regular accounts are furiously a
146	Customer#000000146	103265.9888	3328.68	CANADA	GdxkdXG9u7iyI1,,y5tq4ZyrcEy	13-835-723-3223	ffily regular dinos are slyly unusual requests. slyly specia
19	Customer#000000019	99306.0127	8914.71	CHINA	uc,3bHIx84H,wdrmLOjVsiqXCq2tr	28-396-526-5053	 nag. furiously careful packages are slyly at the accounts. furiously regular in
145	Customer#000000145	99256.9018	9748.93	JORDAN	kQjHmt2kcec cy3hfMh969u	23-562-444-8454	ests? express, express instructions use. blithely fina
